,Product ID,Country,Company,Factory,Number of Employees
0,1166969003,Chine,"SUZHOU LAOHONG KNITTING GARMENT CO.,LTD.","Shandong Wanli Fashion Co.,Ltd Jiu Nv Subsidiary",501-1000
1,1142215002,Chine,Yunhan International (HK) Limited,"Suzhou Xijin Fashion Co.,Ltd",101-500
2,1159122003,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Serendipity Fashion Co.,ltd",101-500
3,1159122001,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Serendipity Fashion Co.,ltd",101-500
4,1157667001,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Suhao Eastren Garments Co., Ltd.",101-500
5,1158221001,Chine,HANGZHOU JIAYI GARMENT COMPANY LTD,HANGZHOU JIAYI GARMENT COMPANY LTD,501-1000
6,1156096001,Chine,HK ZHAO XUAN HOLDINGS COMPANY  LIMITED,Dongguan Dongsheng Shoes Ltd,101-500
7,1159124002,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Suhao Eastren Garments Co., Ltd.",101-500
8,1159502001,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Suhao Eastren Garments Co., Ltd.",101-500
9,1180370002,Inde,CTA APPARELS PVT LTD,CTA APPARELS (Unit D-235),1501-2000
10,1139990003,Turquie,ROTEKS TEKSTIL IHR.SAN.VE TIC.A.S.,CICEK KARDESLER TEKSTIL TUR. INS.NAK.GIDA SAN. VE TIC.LTD.STI.,101-500
11,1139990003,Turquie,ROTEKS TEKSTIL IHR.SAN.VE TIC.A.S.,EGUM TEKSTIL SANAYI TIC LTD STI,1-100
12,1157505004,Chine,KINGSRICH (H.K.) LIMITED,Hubei Manly Fashion,101-500
13,1157505003,Chine,KINGSRICH (H.K.) LIMITED,Hubei Manly Fashion,101-500
14,1121055005,Myanmar (Birmanie),WANHE GARMENT COMPANY LIMITED,WANHE GARMENT COMPANY LIMITED,4001-4500
15,1150536002,Bangladesh,STERLING STYLES LTD,STERLING STYLES LTD,4001-4500
16,1143631001,Bangladesh,CRYSTAL MARTIN (HONG KONG) LTD,Crystal Martin Apparel Bangladesh Ltd.,3001-3500
17,1143631001,Vietnam,CRYSTAL MARTIN (HONG KONG) LTD,"CRYSTAL MARTIN (VIETNAM) CO.,LTD",5501-6000
18,1143741003,Indonésie,BRA PRO LIMITED,PT. FAST MANUFACTURING,1001-1500
19,1146993002,Bangladesh,Q COLLECTION PTE. LTD,SQ Birichina Ltd,5001-5500
20,1146993002,Bangladesh,SQ BIRICHINA LIMITED,SQ Birichina Ltd,5001-5500
